Rank,Player,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,"<span title=""hard-court elo rating"">hElo</span title=""hard-court elo rating"">","<span title=""clay-court elo rating"">cElo</span title=""clay-court elo rating"">","<span title=""grass-court elo rating"">gElo</span title=""grass-court elo rating"">",    ,Peak Match,Peak Age,Peak Elo
1,Carlos Alcaraz,19,2209.3,,2028.5,2039.5,1441.4,,2118.9,2124.4,1825.3,,2022 Madrid F,19,2209.3
2,Novak Djokovic,34.9,2153.4,,2054.9,1984.2,1942.4,,2104.1,2068.8,2047.9,,2016 Miami F,28.8,2470
3,Daniil Medvedev,26.1,2142.2,,2059.3,1714.1,1723.4,,2100.7,1928.1,1932.8,,2022 Australian Open SF,25.9,2189.2
4,Alexander Zverev,25,2106,,2012.7,2002.4,1671.4,,2059.4,2054.2,1888.7,,2022 Atp Cup RR,24.7,2158.4
5,Stefanos Tsitsipas,23.7,2070.7,,1899.1,2041.5,1543.4,,1984.9,2056.1,1807.1,,2021 Roland Garros SF,22.8,2133
6,Rafael Nadal,35.9,2069.2,,1934.9,1928.7,1500,,2002,1998.9,1784.6,,2009 Madrid SF,22.9,2370
7,Jannik Sinner,20.7,2058.4,,1969.9,1830.2,1312.8,,2014.2,1944.3,1685.6,,2022 Madrid R32,20.7,2079
8,Roger Federer,39.9,2043,,1936.7,1749.6,1813.4,,1989.9,1896.3,1928.2,,2007 Dubai F,25.6,2382
9,Andrey Rublev,24.5,2034.6,,1926.3,1873.2,1652.8,,1980.5,1953.9,1843.7,,2021 Monte Carlo SF,23.5,2105.7
10,Matteo Berrettini,25.9,2003.7,,1833.4,1894.7,1853,,1918.6,1949.2,1928.3,,2021 Wimbledon SF,25.2,2045.7
11,Casper Ruud,23.4,1984,,1874.5,1905.9,1465.9,,1929.3,1945,1724.9,,2022 Miami SF,23.2,2041.4
12,Cameron Norrie,26.7,1971.3,,1867.7,1785.5,1575.1,,1919.5,1878.4,1773.2,,2022 Indian Wells R16,26.5,1999.7
13,Hubert Hurkacz,25.2,1969.8,,1876.5,1716.4,1689.8,,1923.1,1843.1,1829.8,,2022 Madrid R16,25.2,1976.3
14,Taylor Fritz,24.5,1959.8,,1885.2,1708.2,1600.7,,1922.5,1834,1780.2,,2022 Miami R32,24.4,1983.8
